city_grp,device,Transaction_Type,payment_mode,package,labelled,retained
Islamabad,Android,Credit/Debit Card,Manual,Half Yearly,5,0
Islamabad,Android,Credit/Debit Card,Manual,Monthly,118,19
Islamabad,Android,Credit/Debit Card,Manual,Quarterly,1,0
Islamabad,Android,Credit/Debit Card,Manual,Weekly,111,26
Islamabad,Android,Easypaisa,Auto,Half Yearly,9,6
Islamabad,Android,Easypaisa,Auto,Monthly,362,119
Islamabad,Android,Easypaisa,Auto,Quarterly,12,4
Islamabad,Android,Easypaisa,Auto,Weekly,1263,752
Islamabad,Android,JazzCash,Manual,Monthly,51,10
Islamabad,Android,JazzCash,Manual,Weekly,27,2
Islamabad,Android,JazzCash Checkout,Auto,Half Yearly,7,5
Islamabad,Android,JazzCash Checkout,Auto,Monthly,153,98
Islamabad,Android,JazzCash Checkout,Auto,Quarterly,21,15
Islamabad,Android,JazzCash Checkout,Auto,Weekly,905,583
Islamabad,Android,Ufone,Auto,Monthly,116,103
Islamabad,Android,Ufone,Auto,Weekly,665,578
Islamabad,Android,Zindigi,Manual,Monthly,3,0
Islamabad,Android,Zindigi,Manual,Weekly,1,0
Islamabad,Android,Zong,Auto,Monthly,3,0
Islamabad,Android,Zong,Auto,Weekly,54,27
Islamabad,Unknown,Bill Payment,Manual,Monthly,3,0
Islamabad,Unknown,Bill Payment,Manual,Weekly,1,0
Islamabad,Unknown,Credit/Debit Card,Manual,Monthly,2,0
Islamabad,Unknown,Credit/Debit Card,Manual,Weekly,5,1
Islamabad,Unknown,Easypaisa,Auto,Monthly,11,9
Islamabad,Unknown,Easypaisa,Auto,Weekly,52,27
Islamabad,Unknown,JazzCash Checkout,Auto,Weekly,12,2
Islamabad,Unknown,JazzWorld,Manual,Monthly,17,0
Islamabad,Unknown,JazzWorld,Manual,Weekly,4,0
Islamabad,Unknown,Ufone,Auto,Monthly,7,7
Islamabad,Unknown,Ufone,Auto,Weekly,3,2
Islamabad,Unknown,Zong,Auto,Quarterly,1,1
Islamabad,Unknown,Zong,Auto,Weekly,1,0
Islamabad,iOS,Bill Payment,Manual,Monthly,18,1
Islamabad,iOS,Bill Payment,Manual,Weekly,24,0
Islamabad,iOS,Credit/Debit Card,Manual,Half Yearly,4,0
Islamabad,iOS,Credit/Debit Card,Manual,Monthly,68,6
Islamabad,iOS,Credit/Debit Card,Manual,Quarterly,3,0
Islamabad,iOS,Credit/Debit Card,Manual,Weekly,62,11
Islamabad,iOS,Easypaisa,Auto,Half Yearly,9,5
Islamabad,iOS,Easypaisa,Auto,Monthly,157,77
Islamabad,iOS,Easypaisa,Auto,Quarterly,6,3
Islamabad,iOS,Easypaisa,Auto,Weekly,320,218
Islamabad,iOS,JazzCash,Manual,Half Yearly,1,0
Islamabad,iOS,JazzCash,Manual,Monthly,21,1
Islamabad,iOS,JazzCash,Manual,Weekly,3,0
Islamabad,iOS,JazzCash Checkout,Auto,Half Yearly,2,1
Islamabad,iOS,JazzCash Checkout,Auto,Monthly,48,30
Islamabad,iOS,JazzCash Checkout,Auto,Quarterly,4,2
Islamabad,iOS,JazzCash Checkout,Auto,Weekly,444,359
Islamabad,iOS,Ufone,Auto,Monthly,35,32
Islamabad,iOS,Ufone,Auto,Weekly,254,217
Islamabad,iOS,Zindigi,Manual,Monthly,1,1
Islamabad,iOS,Zindigi,Manual,Weekly,1,0
Islamabad,iOS,Zong,Auto,Half Yearly,1,1
Islamabad,iOS,Zong,Auto,Monthly,1,0
Islamabad,iOS,Zong,Auto,Weekly,15,3
Karachi,Android,Bill Payment,Manual,Half Yearly,21,0
Karachi,Android,Bill Payment,Manual,Monthly,287,28
Karachi,Android,Bill Payment,Manual,Quarterly,10,1
Karachi,Android,Bill Payment,Manual,Weekly,437,36
Karachi,Android,Coupon,Manual,Weekly,6,0
Karachi,Android,Credit/Debit Card,Manual,Half Yearly,26,7
Karachi,Android,Credit/Debit Card,Manual,Monthly,862,87
Karachi,Android,Credit/Debit Card,Manual,Quarterly,31,5
Karachi,Android,Credit/Debit Card,Manual,Weekly,1237,243
Karachi,Android,Easypaisa,Auto,Half Yearly,40,20
Karachi,Android,Easypaisa,Auto,Monthly,1644,593
Karachi,Android,Easypaisa,Auto,Quarterly,70,45
Karachi,Android,Easypaisa,Auto,Weekly,5886,3460
Karachi,Android,JazzCash,Manual,Half Yearly,3,2
Karachi,Android,JazzCash,Manual,Monthly,285,23
Karachi,Android,JazzCash,Manual,Quarterly,1,0
Karachi,Android,JazzCash,Manual,Weekly,89,7
Karachi,Android,JazzCash Checkout,Auto,Half Yearly,23,13
Karachi,Android,JazzCash Checkout,Auto,Monthly,727,450
Karachi,Android,JazzCash Checkout,Auto,Quarterly,55,39
Karachi,Android,JazzCash Checkout,Auto,Weekly,5314,3641
Karachi,Android,Ufone,Auto,Monthly,263,227
Karachi,Android,Ufone,Auto,Weekly,3164,2552
Karachi,Android,Zindigi,Manual,Monthly,17,2
Karachi,Android,Zindigi,Manual,Weekly,20,0
Karachi,Android,Zong,Auto,Half Yearly,1,0
Karachi,Android,Zong,Auto,Monthly,7,0
Karachi,Android,Zong,Auto,Weekly,421,196
Karachi,Unknown,Bill Payment,Manual,Monthly,2,0
Karachi,Unknown,Bill Payment,Manual,Weekly,10,2
Karachi,Unknown,Credit/Debit Card,Manual,Monthly,20,0
Karachi,Unknown,Credit/Debit Card,Manual,Weekly,33,2
Karachi,Unknown,Easypaisa,Auto,Monthly,65,29
Karachi,Unknown,Easypaisa,Auto,Weekly,167,106
Karachi,Unknown,JazzCash,Manual,Monthly,3,1
Karachi,Unknown,JazzCash Checkout,Auto,Monthly,10,5
Karachi,Unknown,JazzCash Checkout,Auto,Weekly,69,47
Karachi,Unknown,JazzWorld,Manual,Monthly,46,9
Karachi,Unknown,JazzWorld,Manual,Weekly,16,1
Karachi,Unknown,Ufone,Auto,Weekly,4,0
Karachi,Unknown,Zindigi,Manual,Weekly,1,0
Karachi,Unknown,Zong,Auto,Weekly,2,1
Karachi,iOS,Bill Payment,Manual,Half Yearly,6,0
Karachi,iOS,Bill Payment,Manual,Monthly,103,6
Karachi,iOS,Bill Payment,Manual,Quarterly,7,0
Karachi,iOS,Bill Payment,Manual,Weekly,144,14
Karachi,iOS,Coupon,Manual,Weekly,3,0
Karachi,iOS,Credit/Debit Card,Manual,Half Yearly,12,2
Karachi,iOS,Credit/Debit Card,Manual,Monthly,331,28
Karachi,iOS,Credit/Debit Card,Manual,Quarterly,17,1
Karachi,iOS,Credit/Debit Card,Manual,Weekly,493,82
Karachi,iOS,Easypaisa,Auto,Half Yearly,16,9
Karachi,iOS,Easypaisa,Auto,Monthly,421,162
Karachi,iOS,Easypaisa,Auto,Quarterly,28,20
Karachi,iOS,Easypaisa,Auto,Weekly,1196,686
Karachi,iOS,JazzCash,Manual,Half Yearly,1,0
Karachi,iOS,JazzCash,Manual,Monthly,80,7
Karachi,iOS,JazzCash,Manual,Weekly,29,3
Karachi,iOS,JazzCash Checkout,Auto,Half Yearly,12,7
Karachi,iOS,JazzCash Checkout,Auto,Monthly,236,148
Karachi,iOS,JazzCash Checkout,Auto,Quarterly,34,23
Karachi,iOS,JazzCash Checkout,Auto,Weekly,1984,1434
Karachi,iOS,Ufone,Auto,Monthly,118,95
Karachi,iOS,Ufone,Auto,Weekly,1171,952
Karachi,iOS,Zindigi,Manual,Monthly,2,0
Karachi,iOS,Zindigi,Manual,Weekly,2,0
Karachi,iOS,Zong,Auto,Half Yearly,2,1
Karachi,iOS,Zong,Auto,Monthly,7,1
Karachi,iOS,Zong,Auto,Quarterly,1,0
Karachi,iOS,Zong,Auto,Weekly,89,38
Lahore,Android,Bill Payment,Manual,Half Yearly,3,0
Lahore,Android,Bill Payment,Manual,Monthly,157,27
Lahore,Android,Bill Payment,Manual,Quarterly,7,2
Lahore,Android,Bill Payment,Manual,Weekly,244,24
Lahore,Android,Credit/Debit Card,Manual,Half Yearly,7,1
Lahore,Android,Credit/Debit Card,Manual,Monthly,476,45
Lahore,Android,Credit/Debit Card,Manual,Quarterly,6,1
Lahore,Android,Credit/Debit Card,Manual,Weekly,646,96
Lahore,Android,Easypaisa,Auto,Half Yearly,24,12
Lahore,Android,Easypaisa,Auto,Monthly,932,298
Lahore,Android,Easypaisa,Auto,Quarterly,34,17
Lahore,Android,Easypaisa,Auto,Weekly,3886,2193
Lahore,Android,JazzCash,Manual,Half Yearly,2,0
Lahore,Android,JazzCash,Manual,Monthly,584,72
